species,longitude,latitude
Chrysaora colorata,-122.8383,37.6017
Chrysaora colorata,-121.995,36.8467
Chrysaora colorata,-121.8867,36.7667
Chrysaora colorata,-121.9583,36.7433
Chrysaora colorata,-122.7472,36.9658
Chrysaora colorata,-121.9325,36.663
Chrysaora colorata,-121.3553,35.6937
Chrysaora colorata,-121.3588,35.6963
Chrysaora colorata,-119.0147,32.7198
Chrysaora colorata,-120.8843,35.001
Chrysaora colorata,-122.2933,36.985
Chrysaora colorata,-121.8683,36.77
Chrysaora colorata,-122.285,36.9767
Chrysaora colorata,-123.0033,38.17
Chrysaora colorata,-121.875,36.7683
Chrysaora colorata,-122.65,37.2667
Chrysaora colorata,-122.2933,36.9833
Chrysaora colorata,-123.3667,38.1633
Chrysaora colorata,-122.0283,36.575
Chrysaora colorata,-122.4233,36.98
Chrysaora colorata,-121.8717,36.7667
Chrysaora colorata,-122.8633,37.7867
Chrysaora colorata,-122.9283,37.72
Chrysaora colorata,-121.875,36.7617
Chrysaora colorata,-121.97,36.735
Chrysaora colorata,-122.1067,36.6967
Chrysaora colorata,-122.29,36.9833
Chrysaora colorata,-121.8567,36.7633
Chrysaora colorata,-122.905,37.7033
Chrysaora colorata,-121.98,36.745
Chrysaora colorata,-122.86,37.7867
Haliscera bigelowi,-29.548,51.751
Haliscera bigelowi,-122.5169296,36.58454514
Haliscera bigelowi,-122.6934891,35.76876831
Haliscera bigelowi,-16.65170002,41.95335007
Haliscera bigelowi,-19.26214981,47.37014961
Haliscera bigelowi,-16.67415047,41.90584946
Haliscera bigelowi,-19.50710011,47.27709961
Haliscera bigelowi,-16.71749973,42.0775013
Haliscera bigelowi,-19.47344971,47.40534973
Haliscera bigelowi,-16.73585033,42.04250145
Haliscera bigelowi,-19.53065014,47.23775101
Haliscera bigelowi,-16.63584995,41.926651
Haliscera bigelowi,-17.01499939,41.73419952
Haliscera bigelowi,-19.55200005,47.19939995
Haliscera bigelowi,-16.96829987,41.9966507
Haliscera bigelowi,-19.5071497,47.3301487
Haliscera bigelowi,-16.55919933,41.97669983
Haliscera bigelowi,-16.92749977,42.01415062
Haliscera bigelowi,-16.78415012,41.84664917
Haliscera bigelowi,-19.18214989,47.27985001
Haliscera bigelowi,-17.00664997,41.97830009
Haliscera bigelowi,-19.17159939,47.42219925
Haliscera bigelowi,-94.02115631,18.39526176
Haliscera bigelowi,-94.13179779,18.21105766
Haliscera bigelowi,176.1417,-46.7167
Haliscera bigelowi,-4.633299828,89.01670074
Haliscera bigelowi,147.6999969,88.34999847
Haliscera bigelowi,123.843007,24.858923
Haliscera bigelowi,22.24,-59.16
Haliscera bigelowi,-122.5169373,36.58455276
Haliscera bigelowi,-122.055603,36.70324707
Haliscera bigelowi,-122.5169373,36.58454895
Haliscera bigelowi,-122.5169296,36.58454514
Haliscera bigelowi,-16.83580017,41.93584824
Haliscera bigelowi,-19.36359978,47.32779884
Haliscera bigelowi,-17.05749989,41.72079849
Haliscera bigelowi,22.26914978,-59.16584969
Haliscera bigelowi,-16.86920071,41.80500031
Haliscera bigelowi,-19.19884968,47.39299965
Haliscera bigelowi,-16.69579983,42.11165047
Haliscera bigelowi,-19.29300022,47.30200005
Haliscera bigelowi,-19.11455059,47.51300049
Haliscera bigelowi,-19.31324959,47.34965134
Haliscera bigelowi,-16.60414982,41.96500015
Haliscera bigelowi,-16.90499973,41.87999916
Haliscera bigelowi,-93.51048279,19.24204636
Haliscera bigelowi,-97.79373169,22.27995873
Haliscera bigelowi,-92.79730988,20.43039322
Haliscera bigelowi,-97.31250763,22.45035553
Haliscera bigelowi,-34.08330154,87.13330078
Haliscera bigelowi,24.91670036,84.19999695
Haliscera bigelowi,-34.41669846,87.15000153
Haliscera bigelowi,-47.03329849,85.90000153
Haliscera bigelowi,112.1333008,89.59999847
Haliscera bigelowi,-47.03329849,85.90000153
Haliscera bigelowi,-19.39855003,47.38825035
Haliscera bigelowi,-16.88669968,41.87250137
Haliscera bigelowi,-12.77664995,43.99415016
Haliscera bigelowi,-19.22949982,47.3620491
Haliscera bigelowi,-16.84669971,41.88750076
Haliscera bigelowi,-17.10165024,41.70414925
Haliscera bigelowi,-19.23649979,47.29150009
Haliscera bigelowi,-16.86999989,41.90749931
Haliscera bigelowi,-16.59669971,41.948349
Haliscera bigelowi,-16.82500076,41.82415009
Haliscera bigelowi,-16.80249977,41.90335083
Haliscera bigelowi,-19.4904995,47.37010002
Haliscera bigelowi,-97.44389343,22.40377617
Haliscera bigelowi,-93.84389496,18.6886692
Haliscera bigelowi,-96.39782715,22.77369308
Haliscera bigelowi,-97.63271332,22.33607483
